날짜,대분류,소분류,20M,20F,30M,30F,40M,40F,50M,50F,60M,60F
2019-01-01,식품,가공란,6,33,23,45,21,61,6,53,4,10
2019-01-01,냉난방가전,가열식 가습기,2,1,5,7,5,2,2,1,1,
2019-01-01,식품,가자미,1,,2,4,4,5,3,2,,1
2019-01-01,식품,갈비/찜/바비큐용 돈육,3,3,1,6,3,4,,3,,
2019-01-01,식품,갈비용 우육,,6,4,3,3,,,,,
2019-01-01,식품,갈치,2,4,9,27,17,33,9,16,2,4
2019-01-01,식품,감/홍시,,1,1,5,1,14,4,4,,1
2019-01-01,식품,감귤/한라봉/오렌지,22,91,148,263,190,378,106,172,19,48
2019-01-01,식품,감마리놀렌산 영양제,,2,2,11,2,3,5,5,,
2019-01-01,식품,감말랭이,,,1,3,2,4,2,3,3,
2019-01-01,식품,감자,14,24,21,40,16,40,9,30,1,6
2019-01-01,식품,갓김치,,1,2,2,,6,3,11,,1
2019-01-01,식품,건강즙,5,8,7,15,9,23,6,18,3,3
2019-01-01,식품,건강즙/녹용,1,8,17,45,9,28,9,13,6,5
2019-01-01,식품,건대추,,1,1,3,3,6,3,3,,
2019-01-01,식품,건망고,,,,4,1,,,2,,
2019-01-01,식품,건바나나,,2,,4,1,3,1,,1,
2019-01-01,식품,건어물 건새우,,,,,1,1,,1,,
2019-01-01,식품,건어물 노가리,,,1,,1,4,4,2,,
2019-01-01,식품,건어물 마른오징어,4,17,26,54,38,61,7,24,1,3
2019-01-01,식품,건어물 멸치,1,3,8,11,10,16,12,6,,8
2019-01-01,식품,건어물 쥐포,4,3,8,22,16,29,6,17,2,5
2019-01-01,식품,건어물 진미채,,,1,11,3,7,,2,,
2019-01-01,식품,건어물 황태,1,7,9,13,5,7,2,11,1,2
2019-01-01,식품,건자두,,3,4,12,3,7,,9,,1
2019-01-01,식품,건포도,1,2,,2,1,3,,,,
2019-01-01,식품,게장류,7,29,8,12,7,13,3,6,2,
2019-01-01,식품,견과류,7,8,15,23,8,52,10,19,,5
2019-01-01,식품,견과류 땅콩,,1,6,10,6,15,1,7,4,2
2019-01-01,식품,견과류 마카다미아,,,,3,2,6,2,3,,1
2019-01-01,식품,견과류 밤,,15,13,23,12,29,9,12,2,1
2019-01-01,식품,견과류 잣/은행,,1,1,4,3,5,4,6,,5
2019-01-01,식품,견과류 카카오닙스,,1,,6,2,4,1,3,,
2019-01-01,식품,견과류 캐슈넛,,1,,4,,7,1,1,,
2019-01-01,식품,견과류 피스타치오,,,1,,,1,,,,
2019-01-01,식품,견과류 호두,1,2,2,7,8,13,2,4,,1
2019-01-01,식품,계란,1,17,20,61,16,55,7,10,4,
2019-01-01,식품,고등어,5,7,21,55,23,54,7,26,8,9
2019-01-01,식품,고추/피망/파프리카,1,1,7,22,9,22,3,10,,1
2019-01-01,식품,곡물차,1,2,11,12,9,15,4,8,2,
2019-01-01,냉난방가전,공기정화 용품,3,8,31,24,18,17,7,6,1,1
2019-01-01,냉난방가전,공기청정기,5,11,22,41,23,17,3,10,4,2
2019-01-01,식품,곶감/반건시,5,5,6,16,6,16,6,7,2,1
2019-01-01,식품,과실차,2,5,7,9,5,18,3,3,2,
2019-01-01,식품,과일류,6,2,5,6,3,10,4,8,1,11
2019-01-01,식품,과일세트,,1,,4,,,,,,
2019-01-01,식품,과채 음료/주스,13,35,51,129,45,134,29,79,4,18
2019-01-01,식품,구이/수육용 돈육,,,,,,1,,,,
2019-01-01,식품,국내산 돈육,,,1,4,4,8,2,2,1,1
2019-01-01,식품,굴 생물,1,1,5,18,6,13,1,14,4,7
2019-01-01,식품,굴비/조기,2,1,3,4,4,13,5,8,2,4
2019-01-01,식품,글루코사민/키토산 영양제,3,2,1,12,3,8,3,6,1,1
2019-01-01,뷰티,기능성 링클케어 화장품,1,,,,,1,,1,,
2019-01-01,뷰티,기능성 모공관리 화장품,6,22,2,7,,12,,1,1,1
2019-01-01,뷰티,기능성 아이케어 화장품,5,44,17,101,29,102,16,49,1,10
2019-01-01,뷰티,기능성 영양보습 화장품,1,4,4,6,2,3,1,1,,
2019-01-01,뷰티,기능성 트러블케어 화장품,7,9,3,23,2,3,,3,1,
2019-01-01,뷰티,기능성 화장품 세트,,,1,3,,2,,3,,
2019-01-01,뷰티,기초 화장용 로션,35,80,69,154,52,108,21,41,6,9
2019-01-01,뷰티,기초 화장용 미스트,9,44,12,46,6,37,5,6,,2
2019-01-01,뷰티,기초 화장용 스킨,33,138,54,159,50,145,26,59,7,8
2019-01-01,뷰티,기초 화장용 에센스,33,142,67,319,75,383,25,180,20,33
2019-01-01,뷰티,기초 화장용 오일/앰플,10,90,24,95,15,77,10,22,4,2
2019-01-01,뷰티,기초 화장용 크림,135,488,232,864,206,758,119,297,22,58
2019-01-01,식품,기타 농산물,3,5,8,25,30,38,19,29,7,5
2019-01-01,식품,기타 주스류,6,29,19,51,19,35,9,14,6,5
2019-01-01,식품,기타 한방/환제품,,,1,3,1,1,1,1,1,1
2019-01-01,식품,김치류,9,28,20,41,20,39,9,40,3,1
2019-01-01,식품,꽃게,,1,2,7,1,3,1,1,1,1
2019-01-01,식품,나물,1,1,1,6,4,11,7,7,1,1
2019-01-01,식품,낙지,3,12,23,91,58,167,34,105,8,29
2019-01-01,뷰티,남성 로션,3,6,21,13,19,24,7,9,1,1
2019-01-01,뷰티,남성 메이크업,13,2,6,7,4,1,1,,,
2019-01-01,뷰티,남성 선케어,1,,,,1,2,,,,
2019-01-01,뷰티,남성 세트,6,5,20,14,16,20,20,9,9,4
2019-01-01,뷰티,남성 쉐이빙,12,8,18,9,9,4,5,5,6,
2019-01-01,뷰티,남성 스킨,6,7,5,5,3,12,4,6,3,1
2019-01-01,뷰티,남성 에센스,6,5,14,13,12,11,6,10,1,
2019-01-01,뷰티,남성 크림,,,1,,4,,1,2,,
2019-01-01,뷰티,남성 클렌징,2,3,6,14,11,12,6,3,1,
2019-01-01,냉난방가전,냉풍기,,,,1,,,1,,,
2019-01-01,뷰티,네일 메이크업 용품,7,75,25,105,24,52,12,16,3,7
2019-01-01,뷰티,네일관리 소품,,3,3,11,,1,,,,1
2019-01-01,뷰티,네일리무버,,2,3,7,2,6,2,,,
2019-01-01,뷰티,네일세트,,2,,4,,1,,,,
2019-01-01,뷰티,네일아트,,2,,,,2,,1,,
2019-01-01,뷰티,네일컬러,,6,1,8,4,8,1,2,,
2019-01-01,뷰티,네일케어,1,5,4,14,5,7,,,,2
2019-01-01,식품,녹차,3,6,5,8,4,5,,6,1,
2019-01-01,식품,느타리버섯,,3,4,3,3,5,2,,,1
2019-01-01,식품,다이어트보조식,29,69,35,139,44,118,27,66,5,13
2019-01-01,식품,다이어트용 헬스보충식품,34,13,15,16,16,17,7,9,1,1
2019-01-01,식품,닭 양념육,1,4,1,2,2,2,,,,
2019-01-01,식품,닭가슴살,77,75,78,87,35,40,11,20,6,6
2019-01-01,식품,대게/킹크랩,5,3,8,6,1,4,3,2,,
2019-01-01,식품,더치커피,2,10,10,6,3,5,,2,,2
2019-01-01,뷰티,데오드란트,2,3,3,2,3,10,1,1,,2
2019-01-01,식품,도라지/더덕,1,1,7,8,2,8,1,2,,
2019-01-01,냉난방가전,돈풍기,,,,,,,,1,,
2019-01-01,식품,돼지 곱창,118,266,175,266,48,88,10,24,2,1
2019-01-01,식품,두유,18,70,85,203,72,176,41,107,11,19
2019-01-01,식품,둥굴레차,,2,1,2,6,12,5,4,1,1
2019-01-01,식품,딸기/복분자/블루베리,3,14,14,61,13,38,1,6,,2
2019-01-01,식품,딸기우유,2,7,7,20,7,5,,3,,1
2019-01-01,냉난방가전,라디에이터,1,1,7,5,5,7,8,7,1,3
2019-01-01,식품,랍스타,4,8,26,43,33,60,8,19,3,5
2019-01-01,식품,레몬/자몽,1,19,8,16,7,12,4,10,,6
2019-01-01,식품,루테인/눈 영양제,6,27,34,82,81,199,27,149,12,30
2019-01-01,뷰티,린스,6,20,14,21,17,25,4,14,1,1
2019-01-01,뷰티,립앤아이 리무버,2,18,7,22,,11,1,4,,
2019-01-01,식품,마/야콘,,,,,,2,,,,
2019-01-01,식품,마늘/생강,2,8,14,17,4,21,2,11,1,4
2019-01-01,냉난방가전,멀티형 에어컨,,3,3,3,5,14,3,5,1,5
2019-01-01,뷰티,메이크업 박스,,,,2,,1,,1,,
2019-01-01,뷰티,메이크업 브러쉬,8,73,5,51,20,33,3,16,2,2
2019-01-01,식품,메추리알,,3,4,12,9,6,,2,,
2019-01-01,식품,명태/동태,,1,3,4,,3,,8,1,
2019-01-01,식품,무/배추,,,1,3,,3,1,1,,
2019-01-01,식품,무김치,,2,7,13,6,18,3,27,1,4
2019-01-01,식품,문어,,1,1,4,1,2,,,,
2019-01-01,식품,물김치,,,2,5,,8,1,5,,
