일시,평균기온(°C),최저기온(°C),최고기온(°C),1시간 최다강수량(mm),일강수량(mm),평균 풍속(m/s),풍정합(100m),최소 상대습도(%),평균 상대습도(%),O3,PM10,PM25,최다풍향북북동,최다풍향북동,최다풍향동북동,최다풍향동,최다풍향동남동,최다풍향남동,최다풍향남남동,최다풍향남,최다풍향남남서,최다풍향남서,최다풍향서남서,최다풍향서,최다풍향서북서,최다풍향북서,최다풍향북북서,최다풍향북,최고기온 시각(hh)0,최고기온 시각(hh)1,최고기온 시각(hh)2,최고기온 시각(hh)3,최고기온 시각(hh)4,최고기온 시각(hh)5,최고기온 시각(hh)6,최고기온 시각(hh)7,최고기온 시각(hh)8,최고기온 시각(hh)9,최고기온 시각(hh)10,최고기온 시각(hh)11,최고기온 시각(hh)12,최고기온 시각(hh)13,최고기온 시각(hh)14,최고기온 시각(hh)15,최고기온 시각(hh)16,최고기온 시각(hh)17,최고기온 시각(hh)18,최고기온 시각(hh)19,최고기온 시각(hh)20,최고기온 시각(hh)21,최고기온 시각(hh)22,최고기온 시각(hh)23,최저기온 시각(hh)_0,최저기온 시각(hh)_1,최저기온 시각(hh)_2,최저기온 시각(hh)_3,최저기온 시각(hh)_4,최저기온 시각(hh)_5,최저기온 시각(hh)_6,최저기온 시각(hh)_7,최저기온 시각(hh)_8,최저기온 시각(hh)_9,최저기온 시각(hh)_10,최저기온 시각(hh)_11,최저기온 시각(hh)_12,최저기온 시각(hh)_13,최저기온 시각(hh)_14,최저기온 시각(hh)_15,최저기온 시각(hh)_16,최저기온 시각(hh)_17,최저기온 시각(hh)_18,최저기온 시각(hh)_19,최저기온 시각(hh)_20,최저기온 시각(hh)_21,최저기온 시각(hh)_22,최저기온 시각(hh)_23,1시간 최다 강수량 시각(hh)1.0,1시간 최다 강수량 시각(hh)2.0,1시간 최다 강수량 시각(hh)3.0,1시간 최다 강수량 시각(hh)4.0,1시간 최다 강수량 시각(hh)5.0,1시간 최다 강수량 시각(hh)6.0,1시간 최다 강수량 시각(hh)7.0,1시간 최다 강수량 시각(hh)8.0,1시간 최다 강수량 시각(hh)9.0,1시간 최다 강수량 시각(hh)10.0,1시간 최다 강수량 시각(hh)11.0,1시간 최다 강수량 시각(hh)12.0,1시간 최다 강수량 시각(hh)13.0,1시간 최다 강수량 시각(hh)14.0,1시간 최다 강수량 시각(hh)15.0,1시간 최다 강수량 시각(hh)16.0,1시간 최다 강수량 시각(hh)17.0,1시간 최다 강수량 시각(hh)18.0,1시간 최다 강수량 시각(hh)19.0,1시간 최다 강수량 시각(hh)20.0,1시간 최다 강수량 시각(hh)21.0,1시간 최다 강수량 시각(hh)22.0,1시간 최다 강수량 시각(hh)23.0,최소 상대습도 시각(hh)0,최소 상대습도 시각(hh)1,최소 상대습도 시각(hh)2,최소 상대습도 시각(hh)3,최소 상대습도 시각(hh)4,최소 상대습도 시각(hh)5,최소 상대습도 시각(hh)6,최소 상대습도 시각(hh)7,최소 상대습도 시각(hh)8,최소 상대습도 시각(hh)9,최소 상대습도 시각(hh)10,최소 상대습도 시각(hh)11,최소 상대습도 시각(hh)12,최소 상대습도 시각(hh)13,최소 상대습도 시각(hh)14,최소 상대습도 시각(hh)15,최소 상대습도 시각(hh)16,최소 상대습도 시각(hh)17,최소 상대습도 시각(hh)18,최소 상대습도 시각(hh)19,최소 상대습도 시각(hh)20,최소 상대습도 시각(hh)21,최소 상대습도 시각(hh)22,최소 상대습도 시각(hh)23,강수 계속시간(hr)
2018-01-01,0.066157391,-3.463992745,4.734707725,0,0,1.84489254,1590.217336,20.7631793,41.26758055,0.015543839,44.03206934,20.22967155,0.06107499,0,0,0,0,0,0,0,0,0,0,0.050179347,0.559225033,0.062101395,0.123826932,0.143592303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493227771,0.506772229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184901922,0.600185185,0.112280742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102632151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766845551,0.123826932,0.048252527,0.06107499,0,0,0,0,0,0,0,0,0
2018-01-02,-0.000200632,-3.617036967,4.293367092,0,0,2.003189418,1734.172453,25.96051104,47.22926263,0.013179103,53.74257905,29.10445811,0.184901922,0,0,0,0,0,0,0,0,0,0,0,0.561151853,0.048252527,0.062101395,0.143592303,0,0,0,0,0,0,0,0,0,0,0,0,0.050179347,0.573073901,0.267419235,0.109327517,0,0,0,0,0,0,0,0,0,0,0,0,0.048252527,0,0.25484664,0.164733546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532167287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.123826932,0.204667293,0.408340355,0.050179347,0,0,0,0,0,0,0,0,0.212986073,0
2018-01-03,-2.328937326,-4.948950898,1.733667006,0,0,2.512411324,2193.03548,27.18456406,39.91646465,0.017566221,34.60113405,17.67979851,0.204667293,0,0,0,0,0,0,0,0,0,0,0,0.510972506,0.098431874,0.185928327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050179347,0.315021215,0.634799438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226459083,0.221608259,0.408340355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143592303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.06107499,0.102632151,0.222258806,0.614034053,0,0,0,0,0,0,0,0,0
2018-01-04,-2.419581545,-6.149131791,1.320984943,0,0,1.780529291,1521.908732,31.62727812,44.0775183,0.011982671,42.67234338,23.21561641,0.123826932,0.06107499,0,0,0,0,0,0,0,0,0,0,0.561151853,0,0.19184483,0.062101395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253946225,0.33771342,0.408340355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06107499,0,0.774191464,0.164733546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.19184483,0.458519702,0.288560478,0.06107499,0,0,0,0,0,0,0,0,0
2018-01-05,-0.734189421,-3.487799813,3.78873899,0,0.114873842,1.984833099,1712.825616,30.79739097,50.19553257,0.011894146,51.98852571,32.82998593,0.06107499,0,0,0,0,0,0,0,0,0,0,0.050179347,0.716666204,0.048252527,0,0.123826932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222258806,0.246224454,0.53151674,0,0,0,0,0,0,0,0,0.048252527,0,0,0.408340355,0.123826932,0.06107499,0.050179347,0,0.062101395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246224454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.236107674,0.163707141,0.456592882,0,0.143592303,0,0,0,0,0,0,0.880640317
2018-01-06,-0.779778288,-4.678458569,4.554953073,0,0,1.941558698,1671.840828,27.74612593,46.48736002,0.016083313,42.52642526,26.59851782,0.06107499,0,0,0,0,0,0,0,0,0,0,0.050179347,0.716666204,0,0.172079459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303099167,0.573073901,0.123826932,0,0,0,0,0,0,0,0,0.123826932,0,0,0,0,0.456592882,0.25484664,0.062101395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102632151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.663186995,0.336813005,0,0,0,0,0,0,0,0,0,0
2018-01-07,0.481541291,-4.616491158,4.247856253,0,0.193737461,0.999784459,884.8913736,34.4481719,50.13461319,0.005964359,53.97871378,37.08774194,0,0.204667293,0,0.510972506,0.050179347,0,0,0,0,0,0,0,0,0.110353922,0,0.123826932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050179347,0.888745663,0.06107499,0,0,0,0,0,0,0,0,0,0,0,0.06107499,0.458519702,0.294476981,0.185928327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143592303,0,,0,0,0,0,0,0,0,0.048252527,0,0,0,0.572047496,0.185928327,0.050179347,0,0,0,0,0,0,0,0.530882995
2018-01-08,2.276556917,0.124997325,4.545160539,0,2.216381838,2.034294532,1760.227275,44.319273,67.4202701,0.009092191,51.85076735,36.57396064,0,0,0,0,0,0,0,0,0,0,0,0.572047496,0.19377165,0.123826932,0.110353922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143592303,0.111254337,0.123826932,0.573073901,0,0,0,0.048252527,0,0,0,0,0,0,0,0.102632151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06107499,0,0,0,0.836292859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062101395,,0,0,0,0,0,0,0,0,0.532167287,0,0.050179347,0,0,0,0,0,0.048252527,0,0,0.143592303,0.163707141,7.012609641
2018-01-09,-2.132112218,-4.014074013,0.874179185,0,0.650082464,3.745591629,3237.509455,43.19760744,61.25346073,0.022584809,38.30719257,20.48814784,0,0,0,0,0,0,0,0,0,0,0,0.06107499,0.704744156,0.110353922,0.123826932,0,0.744126955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19377165,0.062101395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173355732,0.532167287,0.048252527,0,0,0,0,0,0,0,0,0,0,0,0.143592303,0,0.102632151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06107499,0,,0,0,0,0,0,0,0,0.062101395,0,0.458519702,0.048252527,0.143592303,0.102632151,0,0.123826932,0,0,0,0,0,0,5.383148113
2018-01-10,-5.258941617,-8.422678918,-2.304793455,0,0.864528009,3.338112424,2871.918545,36.08369253,57.38165121,0.02033872,31.72774471,14.57886457,0.06107499,0,0,0,0,0,0,0,0,0,0,0.143592303,0.510972506,0.160533269,0,0.123826932,0.184901922,0.062101395,0.102632151,0,0,0,0,0,0,0,0,0,0,0.19377165,0.456592882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.123176385,0.102632151,0,0.600185185,0.123826932,0,0,0.050179347,0,0,0,0,3.682494299
